id,slug,name,pattern,goal,difficulty,equipment,binder_aware,pelvic_floor_safe,heavy_binding_safe,contraindications,target_muscles,secondary_muscles,gender_goal_emphasis,dysphoria_tags,post_op_safe_weeks,cue_primary,breathing,rep_range_beginner,rep_range_intermediate,rep_range_advanced,effectiveness_rating,source,notes,created_at,updated_at,version,flags_reviewed,reviewer,video_url,thumbnail_url,media_thumb
11,incline-push-up,Incline Push-Up,push,strength,beginner,"[""bodyweight"", ""bench""]",true,true,true,[],pectorals,"triceps, shoulders",masc_medium,,,"Hands on elevated surface, lower chest toward surface","Inhale down, exhale up",8-12,12-15,15-20,7,Post-op progression protocols,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/B1EVP9F.gif
12,diamond-push-up,Diamond Push-Up,push,strength,advanced,"[""bodyweight""]",false,true,false,"[""heavy_binding"",""tight_binder""]",triceps,"pectorals, shoulders",masc_high,,,"Hands form diamond shape, elbows close to body","Inhale down, exhale up",3-5,5-10,10-15,9,NASM tricep development,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/soIB2rj.gif
13,pike-push-up,Pike Push-Up,push,strength,intermediate,"[""bodyweight""]",false,true,false,"[""heavy_binding""]",shoulders,"triceps, upper chest",masc_high,,,"Hips high, lower head toward ground","Inhale down, exhale up",5-8,8-12,12-15,9,NASM shoulder development,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
14,pull-up-assisted,Pull-Up (Assisted),pull,strength,intermediate,"[""bodyweight"", ""pull_up_bar"", ""resistance_band""]",true,true,false,[],lats,"biceps, upper back",masc_very_high,,,"Pull chest to bar, squeeze shoulder blades",Exhale as you pull up,3-5,5-8,8-12,10,ACSM back development,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
15,pull-up,Pull-Up,pull,strength,advanced,"[""bodyweight"", ""pull_up_bar""]",true,true,false,[],lats,"biceps, forearms, upper back",masc_very_high,,,"Full hang, pull chest to bar",Exhale as you pull up,1-3,3-8,8-15,10,NASM V-taper development,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/lBDjFxJ.gif
16,chin-up,Chin-Up,pull,strength,advanced,"[""bodyweight"", ""pull_up_bar""]",true,true,false,[],biceps,"lats, forearms",masc_high,,,"Underhand grip, pull chin over bar",Exhale as you pull up,1-3,3-8,8-12,9,ACSM arm development,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/T2mxWqc.gif
17,inverted-row,Inverted Row,pull,strength,intermediate,"[""bodyweight"", ""barbell""]",true,true,true,[],upper back,"biceps, lats",masc_high,,,"Body straight, pull chest to bar",Exhale as you pull,6-10,10-15,15-20,9,NASM back thickness,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/bZGHsAZ.gif
18,plank,Plank,core,strength,beginner,"[""bodyweight""]",true,true,true,[],core,shoulders,neutral,,,"Body straight, hold position",Breathe naturally,20-30 seconds,30-45 seconds,45-60 seconds,9,ACSM core stability,Keep holds under 45 seconds when binding,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
19,side-plank,Side Plank,core,strength,intermediate,"[""bodyweight""]",true,true,true,[],obliques,"core, shoulders",neutral,,,Body in straight line on side,Breathe naturally,15-20 seconds each side,20-30 seconds each side,30-45 seconds each side,9,NASM oblique development,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
20,dead-bug,Dead Bug,core,strength,beginner,"[""bodyweight""]",true,true,true,[],core,,neutral,,,"Lower back pressed to ground, extend opposite arm and leg",Exhale as you extend,8-10 each side,10-15 each side,15-20 each side,9,NASM core activation,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/iny3m5y.gif
21,bird-dog,Bird Dog,core,strength,beginner,"[""bodyweight""]",true,true,true,[],core,"glutes, shoulders",neutral,,,"On hands and knees, extend opposite arm and leg",Breathe naturally,8-10 each side,10-15 each side,15-20 each side,8,ACSM stability training,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
22,mountain-climber,Mountain Climber,core,conditioning,intermediate,"[""bodyweight""]",false,true,false,"[""heavy_binding""]",core,"shoulders, hip flexors",neutral,,,"Plank position, drive knees toward chest alternating",Breathe rhythmically,20 seconds,30 seconds,45 seconds,8,HIIT protocols,Monitor breathing if binding,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/RJgzwny.gif
23,bicycle-crunch,Bicycle Crunch,core,strength,intermediate,"[""bodyweight""]",true,true,true,[],abs,obliques,neutral,,,"Opposite elbow to knee, controlled movement",Exhale on rotation,10-15 total,15-20 total,20-30 total,8,NASM ab development,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
24,goblet-squat,Goblet Squat,squat,strength,beginner,"[""dumbbells""]",true,true,true,[],"quads, glutes",core,fem_high,,,"Hold dumbbell at chest, squat deep","Inhale down, exhale up",8-12,10-15,12-20,9,ACSM functional strength,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
25,dumbbell-rdl,Dumbbell Romanian Deadlift (RDL),hinge,strength,intermediate,"[""dumbbells""]",true,true,true,[],"hamstrings, glutes","lower back, core",fem_very_high,,,"Hinge at hips, push hips back, feel hamstring stretch","Inhale down, exhale up",8-10,10-12,12-15,10,Evidence-based posterior chain,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
26,dumbbell-sumo-squat,Dumbbell Sumo Squat,squat,strength,intermediate,"[""dumbbells""]",true,true,true,[],"glutes, inner thighs",quads,fem_very_high,,,"Wide stance, toes out, hold dumbbell between legs","Inhale down, exhale up",8-12,12-15,15-20,10,NASM feminization emphasis,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
27,dumbbell-walking-lunge,Dumbbell Walking Lunge,lunge,strength,intermediate,"[""dumbbells""]",true,true,true,"[""early_post_op_bottom""]","quads, glutes","hamstrings, calves",fem_high,,,"Dumbbells at sides, step forward into lunge","Inhale down, exhale up",6-8 each leg,8-12 each leg,12-15 each leg,9,ACSM loaded locomotion,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
28,dumbbell-step-up,Dumbbell Step-Up,lunge,strength,intermediate,"[""dumbbells"", ""bench""]",true,true,true,[],"quads, glutes",hamstrings,fem_high,,,"Step up onto bench, drive through heel",Exhale as you step up,8-10 each leg,10-12 each leg,12-15 each leg,9,NASM unilateral strength,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/aXtJhlg.gif
29,dumbbell-single-leg-rdl,Dumbbell Single-Leg RDL,hinge,strength,advanced,"[""dumbbells""]",true,true,false,[],"hamstrings, glutes","core, balance",fem_high,,,"Balance on one leg, hinge at hip","Inhale down, exhale up",6-8 each leg,8-10 each leg,10-12 each leg,9,NASM balance progressions,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
30,dumbbell-bench-press,Dumbbell Bench Press,push,strength,intermediate,"[""dumbbells"", ""bench""]",false,true,false,"[""heavy_binding"",""tight_binder""]",pectorals,"triceps, shoulders",masc_high,,,"Lower dumbbells to chest level, press up","Inhale down, exhale up",8-10,10-12,12-15,10,ACSM chest development,Post-top surgery: start at Week 8+,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/SpYC0Kp.gif
31,dumbbell-incline-press,Dumbbell Incline Press,push,strength,intermediate,"[""dumbbells"", ""bench""]",false,true,false,"[""heavy_binding"",""tight_binder""]",upper pectorals,"shoulders, triceps",masc_high,,,"Bench at 30-45 degrees, press dumbbells up","Inhale down, exhale up",8-10,10-12,12-15,9,NASM chest sculpting,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
32,dumbbell-overhead-press,Dumbbell Overhead Press,push,strength,intermediate,"[""dumbbells""]",true,true,false,[],shoulders,"triceps, core",masc_very_high,,,"Press dumbbells overhead, keep core tight",Exhale as you press,8-10,10-12,12-15,10,ACSM shoulder development,Key exercise for broad shoulder development,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
33,dumbbell-lateral-raise,Dumbbell Lateral Raise,isolation,strength,beginner,"[""dumbbells""]",true,true,true,[],shoulders,,masc_very_high,,,Raise dumbbells to sides to shoulder height,Exhale as you raise,10-12,12-15,15-20,10,NASM shoulder width development,Critical for masculinizing V-taper,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/DsgkuIt.gif
34,dumbbell-front-raise,Dumbbell Front Raise,isolation,strength,beginner,"[""dumbbells""]",true,true,true,[],shoulders,,masc_medium,,,Raise dumbbells in front to shoulder height,Exhale as you raise,10-12,12-15,15-20,7,ACSM anterior delt isolation,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/3eGE2JC.gif
35,dumbbell-bent-over-row,Dumbbell Bent-Over Row,pull,strength,intermediate,"[""dumbbells""]",true,true,true,[],upper back,"lats, biceps",masc_very_high,,,"Hinge forward, pull dumbbells to ribs",Exhale as you pull,8-10,10-12,12-15,10,NASM back thickness development,,2025-11-23 19:54:34+00,2025-12-04 07:51:22.466556+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/BJ0Hz5L.gif
36,dumbbell-single-arm-row,Dumbbell Single-Arm Row,pull,strength,intermediate,"[""dumbbells"", ""bench""]",true,true,true,[],lats,"biceps, upper back",masc_high,,,"Support on bench, pull dumbbell to hip",Exhale as you pull,8-10 each arm,10-12 each arm,12-15 each arm,9,ACSM unilateral back work,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
37,dumbbell-bicep-curl,Dumbbell Bicep Curl,isolation,strength,beginner,"[""dumbbells""]",true,true,true,[],biceps,forearms,masc_high,,,"Curl dumbbells to shoulders, control down",Exhale as you curl,10-12,12-15,15-20,8,ACSM arm development,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
38,dumbbell-hammer-curl,Dumbbell Hammer Curl,isolation,strength,beginner,"[""dumbbells""]",true,true,true,[],biceps,forearms,masc_high,,,"Palms facing each other, curl up",Exhale as you curl,10-12,12-15,15-20,8,NASM forearm emphasis,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/slDvUAU.gif
39,dumbbell-overhead-tricep-extension,Dumbbell Overhead Tricep Extension,isolation,strength,intermediate,"[""dumbbells""]",true,true,true,[],triceps,,masc_high,,,"Hold dumbbell overhead, lower behind head","Inhale down, exhale up",10-12,12-15,15-20,8,ACSM tricep isolation,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
40,barbell-back-squat,Barbell Back Squat,squat,strength,intermediate,"[""barbell""]",true,true,false,[],"quads, glutes","hamstrings, core",neutral,,,"Bar on upper back, squat to parallel or below","Inhale down, exhale up",6-8,8-12,6-10,10,ACSM compound strength,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
41,barbell-rdl,Barbell Romanian Deadlift,hinge,strength,intermediate,"[""barbell""]",true,true,true,[],"hamstrings, glutes","lower back, upper back",fem_very_high,,,"Hinge at hips, bar stays close to legs","Inhale down, exhale up",6-8,8-12,10-15,10,Evidence-based posterior development,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/wQ2c4XD.gif
42,barbell-deadlift,Barbell Conventional Deadlift,hinge,strength,advanced,"[""barbell""]",true,false,false,"[""early_post_op_bottom""]","hamstrings, glutes, lower back","upper back, core",neutral,,,"Bar over mid-foot, drive through heels","Hold breath at start, exhale at top",3-5,5-8,3-8,10,ACSM maximal strength,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
43,barbell-hip-thrust,Barbell Hip Thrust,hinge,strength,intermediate,"[""barbell"", ""bench""]",true,true,true,[],glutes,hamstrings,fem_very_high,,,"Upper back on bench, drive hips up, squeeze glutes",Exhale as you thrust,8-10,10-15,12-20,10,Glute hypertrophy research,#1 exercise for glute development,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
44,barbell-bench-press,Barbell Bench Press,push,strength,intermediate,"[""barbell"", ""bench""]",false,true,false,"[""heavy_binding"",""tight_binder""]",pectorals,"triceps, shoulders",masc_high,,,"Lower bar to chest, press up","Inhale down, exhale up",6-8,8-12,5-10,10,ACSM upper body strength,Post-top surgery Week 12+ only,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/EIeI8Vf.gif
45,barbell-overhead-press,Barbell Overhead Press,push,strength,intermediate,"[""barbell""]",true,true,false,[],shoulders,"triceps, upper chest, core",masc_very_high,,,Press bar from shoulders to overhead,Exhale as you press,6-8,8-12,5-10,10,NASM shoulder mass development,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
46,barbell-bent-over-row,Barbell Bent-Over Row,pull,strength,intermediate,"[""barbell""]",true,true,true,[],upper back,"lats, biceps, lower back",masc_very_high,,,"Hinge forward, pull bar to lower chest",Exhale as you pull,6-8,8-12,10-15,10,ACSM back development,,2025-11-23 19:54:34+00,2025-12-04 07:51:22.466556+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/eZyBC3j.gif
47,barbell-bicep-curl,Barbell Bicep Curl,isolation,strength,beginner,"[""barbell""]",true,true,true,[],biceps,forearms,masc_medium,,,"Curl bar to shoulders, elbows stationary",Exhale as you curl,8-10,10-12,12-15,8,ACSM arm training,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
48,band-squat,Band Squat,squat,strength,beginner,"[""resistance_band""]",true,true,true,[],"quads, glutes",core,fem_medium,,,"Stand on band, hold handles at shoulders, squat","Inhale down, exhale up",12-15,15-20,20-25,7,NASM home training,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/TUZLh71.gif
49,band-glute-bridge,Band Glute Bridge,hinge,strength,beginner,"[""resistance_band""]",true,true,true,[],glutes,hamstrings,fem_very_high,,,"Band around knees, drive hips up",Exhale as you lift,15-20,20-25,25-30,9,Glute activation research,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
50,band-lateral-walk,Band Lateral Walk,isolation,strength,beginner,"[""resistance_band""]",true,true,true,[],glutes,hip abductors,fem_high,,,"Band around ankles, side step maintaining tension",Breathe naturally,10-12 steps each direction,12-15 steps each direction,15-20 steps each direction,8,NASM glute activation,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
51,band-chest-press,Band Chest Press,push,strength,beginner,"[""resistance_band""]",true,true,true,[],pectorals,"shoulders, triceps",masc_low,,,"Band behind back, press forward",Exhale as you press,12-15,15-20,20-25,6,ACSM home chest work,Light alternative to heavy chest work,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
52,band-pull-apart,Band Pull-Apart,pull,strength,beginner,"[""resistance_band""]",true,true,true,[],upper back,rear delts,masc_high,,,"Hold band at chest height, pull apart",Exhale as you pull,15-20,20-25,25-30,8,NASM scapular health,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
53,band-overhead-press,Band Overhead Press,push,strength,beginner,"[""resistance_band""]",true,true,true,[],shoulders,triceps,masc_high,,,"Stand on band, press handles overhead",Exhale as you press,12-15,15-20,20-25,7,NASM shoulder training,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
54,band-bicep-curl,Band Bicep Curl,isolation,strength,beginner,"[""resistance_band""]",true,true,true,[],biceps,forearms,masc_medium,,,"Stand on band, curl handles to shoulders",Exhale as you curl,12-15,15-20,20-25,7,ACSM portable training,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
55,walking,Walking,cardio,endurance,beginner,"[""bodyweight""]",true,true,true,[],cardiovascular system,"calves, quads",neutral,,,"Maintain steady pace, natural arm swing",Breathe naturally and rhythmically,10-15 minutes,20-30 minutes,30-45 minutes,7,ACSM cardio guidelines,Safe for all binding levels and post-op recovery,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
56,jogging,Jogging,cardio,endurance,intermediate,"[""bodyweight""]",false,true,false,"[""heavy_binding"",""early_post_op_bottom""]",cardiovascular system,legs,neutral,,,"Light, rhythmic pace, land mid-foot","Inhale 2-3 steps, exhale 2-3 steps",10-15 minutes,20-30 minutes,30-45 minutes,8,ACSM aerobic training,Take binder breaks every 15-20 minutes if binding,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
57,cycling-stationary,Cycling (Stationary),cardio,endurance,beginner,"[""stationary_bike""]",true,true,true,[],cardiovascular system,"quads, glutes",neutral,,,"Steady cadence, adjust resistance as needed",Breathe naturally,15-20 minutes,25-35 minutes,40-60 minutes,8,ACSM low-impact cardio,Excellent binding-safe cardio option,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
58,jumping-jacks,Jumping Jacks,cardio,conditioning,beginner,"[""bodyweight""]",false,true,false,"[""heavy_binding"",""early_post_op_bottom""]",cardiovascular system,"shoulders, legs",neutral,,,"Jump feet out, raise arms overhead",Breathe rhythmically,30 seconds,45 seconds,60 seconds,7,ACSM warm-up exercises,Skip if binding or post-op,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
59,high-knees,High Knees,cardio,conditioning,intermediate,"[""bodyweight""]",false,true,false,"[""heavy_binding""]",cardiovascular system,"hip flexors, core",neutral,,,"Drive knees high, quick pace",Breathe rapidly,20 seconds,30 seconds,45 seconds,8,HIIT protocols,Monitor breathing if binding,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
60,cat-cow-stretch,Cat-Cow Stretch,mobility,mobility,beginner,"[""bodyweight""]",true,true,true,[],spine,core,neutral,,,"On hands and knees, alternate arching and rounding spine","Inhale cow, exhale cat",8-10 reps,10-12 reps,12-15 reps,9,NASM mobility protocols,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
61,childs-pose,Child's Pose,mobility,mobility,beginner,"[""bodyweight""]",true,true,true,[],back,"hips, shoulders",neutral,,,"Sit back on heels, extend arms forward",Breathe deeply,30-60 seconds,60-90 seconds,90-120 seconds,8,ACSM recovery practices,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
62,hip-flexor-stretch,Hip Flexor Stretch,mobility,mobility,beginner,"[""bodyweight""]",true,true,true,[],hip flexors,quads,neutral,,,"Kneeling lunge position, push hips forward",Breathe deeply,30 seconds each side,45 seconds each side,60 seconds each side,9,NASM flexibility training,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
63,hamstring-stretch,Hamstring Stretch,mobility,mobility,beginner,"[""bodyweight""]",true,true,true,[],hamstrings,calves,neutral,,,"Reach toward toes, keep knees soft",Breathe deeply,30 seconds,45 seconds,60 seconds,8,ACSM flexibility guidelines,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/99rWm7w.gif
64,doorway-chest-stretch,Doorway Chest Stretch,mobility,mobility,beginner,"[""wall""]",true,true,true,[],pectorals,shoulders,neutral,,,"Arm on doorframe, rotate chest away",Breathe deeply,30 seconds each side,45 seconds each side,60 seconds each side,8,Post-op recovery protocols,Important for post-top surgery mobility,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
65,90-90-hip-stretch,90/90 Hip Stretch,mobility,mobility,intermediate,"[""bodyweight""]",true,true,true,[],hips,glutes,neutral,,,"Both legs at 90 degrees, lean forward",Breathe deeply,30 seconds each side,45 seconds each side,60 seconds each side,9,NASM hip mobility,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
66,thoracic-spine-rotation,Thoracic Spine Rotation,mobility,mobility,beginner,"[""bodyweight""]",true,true,true,[],upper back,shoulders,neutral,,,"On hands and knees, rotate torso",Exhale as you rotate,8-10 each side,10-12 each side,12-15 each side,8,NASM spinal mobility,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
67,fire-hydrant,Fire Hydrant,isolation,strength,beginner,"[""bodyweight""]",true,true,true,[],glutes,hip abductors,fem_very_high,,,"On hands and knees, lift leg out to side",Exhale as you lift,12-15 each leg,15-20 each leg,20-25 each leg,9,Glute isolation research,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
